id,group_id,sender_id,content,message_type,reply_to,created_at,updated_at,note_id
0441dbf8-c818-4169-b3b6-8d1cb1e40013,6596d81b-9204-48bf-a77c-a5ebdc559ad4,ec45ed0d-4b29-4fab-aced-8ea48094ef01,check it out...,text,,2025-10-05 20:36:41.019533+00,,1b781e89-5929-42d1-ba76-9d3db44357a1
046220ce-0214-4cde-9ba7-5c6e297669d6,9efff110-a766-472d-91e4-4df704adebe8,ec45ed0d-4b29-4fab-aced-8ea48094ef01,You see am now?,text,c7cad44d-e4f8-4f36-afb8-86557ae288db,2025-10-29 20:32:06.985317+00,,
053139ef-5d33-4fc6-82b5-c4b121938cca,4ad93d4c-fafe-4dcc-a237-5eed416375cd,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,How is it going?,text,,2025-10-01 02:18:33.88133+00,,
0637f25e-8b5e-4b58-8250-f6270a7cf1d5,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,heyy,text,3d1a9747-fe35-495e-97af-5ba42cabb746,2025-10-06 00:37:15.777843+00,,
081e1a84-d6f9-412d-92ae-d94ad73c6766,4ad93d4c-fafe-4dcc-a237-5eed416375cd,ec45ed0d-4b29-4fab-aced-8ea48094ef01,nice to see you here,text,bd63f0b8-2c94-46cb-bca3-2a5c61ba728b,2025-10-28 19:46:35.211399+00,,
08c3b546-d1f6-4b28-83d6-ac52fb09d3eb,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,No be life pesin dey live o . Just cuz of money,text,,2025-09-30 23:37:13.983802+00,,
0e8f4fa0-0ee3-48f8-abe9-d3206503116b,90d9845a-742e-42ad-aa7b-c2fb948c58f5,d4ab10d3-f4d9-497f-a009-6224368627d2,hope all is cool at your end,text,,2025-10-01 10:29:01.67072+00,,
12a930bd-944c-4ccf-a04d-a8bbcd2dea44,6596d81b-9204-48bf-a77c-a5ebdc559ad4,ec45ed0d-4b29-4fab-aced-8ea48094ef01,hey,text,,2025-09-29 00:25:01.992741+00,,
18fc01f0-b410-4b63-9484-1f92e681efc6,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,You never do the username showing ID stuff o 🙄,text,,2025-09-30 23:39:52.522585+00,,
19ebed28-2236-49c3-b493-6b370408ac51,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,Is it my pc that's lagging?,text,,2025-09-30 23:37:38.530716+00,,
21041334-9d48-48ea-b554-55983ef9d16b,90d9845a-742e-42ad-aa7b-c2fb948c58f5,d4ab10d3-f4d9-497f-a009-6224368627d2,Eseun igba gbogbo,text,,2025-10-01 10:31:12.791998+00,,
233e0d13-8af7-4491-8ab3-7f343b3b4084,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,E slow for your side?,text,19ebed28-2236-49c3-b493-6b370408ac51,2025-09-30 23:38:02.182902+00,,
24bc9e28-5b48-4397-9d65-0c2365cf2f92,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,how is everything,text,,2025-09-29 01:00:19.525698+00,,
257157d2-7d50-4f59-ad31-fe5a86115d1e,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,Try window + . when you're focused on this text input,text,,2025-09-30 23:43:33.081051+00,,
2accdddb-d54e-4000-8558-0df04dae42b1,9efff110-a766-472d-91e4-4df704adebe8,ec45ed0d-4b29-4fab-aced-8ea48094ef01,How you dey,text,85bd313f-a61c-486c-9879-5e29f76000ff,2025-10-29 20:22:27.313021+00,,
2e2b0398-54d5-4714-a362-e8346c2767f4,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,how far,text,9f6690f9-3724-4ca8-8992-2136e2a61b38,2025-10-11 18:36:36.545623+00,,
2f8fde90-7e78-4e0e-87fb-8650b94931ba,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,no vex broski :),text,,2025-09-30 23:36:35.673646+00,,
32308558-0b8c-4733-a0bf-fe1a727f1133,6596d81b-9204-48bf-a77c-a5ebdc559ad4,ec45ed0d-4b29-4fab-aced-8ea48094ef01,how is it going,text,,2025-09-30 23:31:40.024466+00,,
